Registrikood;Nimi;Tööjõumaksud Ja Maksed;Tootajaid;YearQ
12102800;KOHILA VINEER OÜ;595587;248;18ii
10156772;KUNDA NORDIC TSEMENT AS;593654;191;18i
10272337;KROONPRESS AS;593546;267;18ii
10712664;HIRERIGHT ESTONIA AS;591107;94;18i
10525330;SEB ELU-JA PENSIONIKINDLUSTUS AS;590989;64;18i
10188743;SECURITAS EESTI AS;590375;486;18ii
11333035;HESEPEOPLE OÜ;590189;528;18iv
10270580;BARRUS AS;589927;237;18i
11358584;GENIUS SPORTS SERVICES EESTI OÜ;589776;335;18i
12771257;TWILIO ESTONIA OÜ;589669;75;18ii
10117341;LIVIKO AS;589386;187;18ii
11011627;HANZA MECHANICS NARVA AS;588110;274;18iv
10096567;SYMANTEC ESTONIA OÜ;585949;95;18iv
10077564;ESPAK AS;585083;211;18iii
75011547;KOSE VALLAVALITSUS;584033;64;18iii
10089357;AS GLAMOX;583937;196;18iii
11052968;MANPOWER OÜ;583534;279;18iv
10140133;CYBERNETICA AS;583327;144;18iv
12102800;KOHILA VINEER OÜ;583262;254;18i
10932555;ADMIRAL MARKETS AS;582647;117;18i
11256346;HAVI LOGISTICS OÜ;582319;250;18i
10677712;SPORTLAND EESTI AS;581973;465;18ii
11107913;SYNLAB EESTI OÜ;581718;252;18iii
14335034;AKTSIASELTS MEDICUM TERVISHOIUTEENUSED;581619;305;18iii
11876310;MYJAR IT OÜ;581217;143;18iii
10569340;UNIMED KLIINIKUD OÜ;581093;193;18i
75011547;KOSE VALLAVALITSUS;580863;63;18iv
10166658;CRAMO ESTONIA AS;580838;166;18i
11073723;VIDEOB OÜ;580760;84;18ii
10085032;GOBUS AS;580640;409;18iv
77000234;PÕHJA-PÄRNUMAA VALLAVALITSUS;580167;73;18iii
10034023;PROMENS AS;579917;313;18iii
10258395;HILDING ANDERS BALTIC AS;579822;283;18i
12020367;HURTIGRUTEN ESTONIA OÜ;579535;210;18ii
77000312;RAPLA VALLAVALITSUS;579337;131;18i
10258395;HILDING ANDERS BALTIC AS;579168;286;18ii
77000424;HIIUMAA VALLAVALITSUS;579138;75;18iv
10077564;ESPAK AS;577955;216;18iv
11189800;OSAÜHING N&V;577516;356;18i
10165587;AMPHENOL CONNEXUS OÜ;577171;544;18i
10932555;ADMIRAL MARKETS AS;576231;125;18iv
10166658;CRAMO ESTONIA AS;576167;171;18iii
10333719;BALTI SPOON OÜ;576158;275;18ii
11256346;HAVI LOGISTICS OÜ;575943;254;18iii
11405467;CLEVERON AS;575837;175;18iv
10333719;BALTI SPOON OÜ;573142;283;18i
10140133;CYBERNETICA AS;573137;138;18iii
10220275;JÄRVAMAA HAIGLA AS;572366;305;18iii
10050720;ATRIA EESTI AS;572168;302;18ii
10085032;GOBUS AS;572114;385;18i
10055752;SEESAM INSURANCE AS;572061;153;18i
75038598;LÄÄNE-NIGULA VALLAVALITSUS;571387;181;18iii
10092701;PRINTALL AS;570461;218;18iii
