Registrikood;Nimi;Tööjõumaksud Ja Maksed;Tootajaid;YearQ
10328799;EESTI POST AS;3040591;2176;18iii
10263574;RIMI EESTI FOOD AS;3022914;2638;18i
10379733;SELVER AS;2994643;2784;18iii
10636319;GUNVOR SERVICES AS;2944693;213;18ii
74001728;HARJU MAAKOHUS;2910380;279;18i
74001728;HARJU MAAKOHUS;2910202;261;18iii
10263574;RIMI EESTI FOOD AS;2901844;2608;18iv
10379733;SELVER AS;2887923;2823;18iv
10328799;EESTI POST AS;2886563;2205;18i
75024260;NARVA LINNAVALITSUSE KULTUURIOSAKOND;2886462;73;18iv
10263574;RIMI EESTI FOOD AS;2885972;2667;18ii
10379733;SELVER AS;2869189;2878;18ii
10379733;SELVER AS;2826732;2823;18i
74001728;HARJU MAAKOHUS;2815468;269;18ii
11050857;ELEKTRILEVI OÜ;2814225;742;18ii
10579981;ENEFIT ENERGIATOOTMINE AS;2813581;1000;18ii
11315936;LUMINOR BANK AS;2710519;625;18iii
75024260;NARVA LINNAVALITSUSE KULTUURIOSAKOND;2701541;75;18i
10736593;PLAYTECH ESTONIA OÜ;2677746;528;18iii
90004527;PÄRNU HAIGLA SIHTASUTUS;2650215;1367;18iii
10579981;ENEFIT ENERGIATOOTMINE AS;2618502;848;18i
74000122;TALLINNA ÜLIKOOL;2617065;1211;18iii
75024260;NARVA LINNAVALITSUSE KULTUURIOSAKOND;2598171;74;18iii
11315936;LUMINOR BANK AS;2593114;611;18ii
10233337;HT LAEVATEENINDUS OÜ;2569965;594;18iii
75024260;NARVA LINNAVALITSUSE KULTUURIOSAKOND;2560225;75;18ii
10579981;ENEFIT ENERGIATOOTMINE AS;2554059;1010;18iv
11315936;LUMINOR BANK AS;2549583;583;18i
74000122;TALLINNA ÜLIKOOL;2540443;1110;18iv
77000306;SAAREMAA VALLAVALITSUS;2535198;389;18iv
74000122;TALLINNA ÜLIKOOL;2534340;1388;18i
10579981;ENEFIT ENERGIATOOTMINE AS;2521164;999;18iii
74000122;TALLINNA ÜLIKOOL;2495521;1122;18ii
90004527;PÄRNU HAIGLA SIHTASUTUS;2434817;1367;18iv
10736593;PLAYTECH ESTONIA OÜ;2411372;527;18iv
10233337;HT LAEVATEENINDUS OÜ;2397565;568;18iv
70004459;RIIGIMETSA MAJANDAMISE KESKUS (RMK);2397549;994;18iii
70002526;VÄLISMINISTEERIUM;2378270;597;18iv
90004527;PÄRNU HAIGLA SIHTASUTUS;2375794;1359;18ii
70004459;RIIGIMETSA MAJANDAMISE KESKUS (RMK);2362514;833;18i
10233337;HT LAEVATEENINDUS OÜ;2334997;585;18ii
11050857;ELEKTRILEVI OÜ;2299587;729;18iii
11050857;ELEKTRILEVI OÜ;2291733;752;18i
10233337;HT LAEVATEENINDUS OÜ;2288451;573;18i
90003433;IDA-VIRU KESKHAIGLA SIHTASUTUS;2274159;1238;18iii
90004527;PÄRNU HAIGLA SIHTASUTUS;2271621;1345;18i
11056239;SKYPE TECHNOLOGIES OÜ;2261245;248;18i
11056239;SKYPE TECHNOLOGIES OÜ;2240723;256;18iii
77000306;SAAREMAA VALLAVALITSUS;2231078;423;18iii
11488826;DANSKE BANK A/S EESTI FILIAAL;2230953;312;18ii
70002526;VÄLISMINISTEERIUM;2230772;625;18iii
70004459;RIIGIMETSA MAJANDAMISE KESKUS (RMK);2229036;852;18iv
74002322;EESTI RAHVUSRINGHÄÄLING;2196796;1347;18ii
12461545;TRANSFERWISE LTD EESTI FILIAAL;2183586;725;18iv
90003433;IDA-VIRU KESKHAIGLA SIHTASUTUS;2147453;1222;18iv
77000306;SAAREMAA VALLAVALITSUS;2141345;548;18ii
10184643;EESTI MEEDIA AS;2121967;688;18i
74000725;KAITSELIIT;2120069;879;18iii
74000725;KAITSELIIT;2109092;870;18ii
10178070;ELISA EESTI AS;2107698;695;18iv
74000725;KAITSELIIT;2104891;861;18iv
74002322;EESTI RAHVUSRINGHÄÄLING;2103468;1443;18i
12461545;TRANSFERWISE LTD EESTI FILIAAL;2060171;680;18iii
10238429;TALLINK GRUPP AS;2051540;542;18iii
11050857;ELEKTRILEVI OÜ;2041238;734;18iv
74002322;EESTI RAHVUSRINGHÄÄLING;2036980;1379;18iii
11056239;SKYPE TECHNOLOGIES OÜ;2035981;249;18ii
11488826;DANSKE BANK A/S EESTI FILIAAL;2025537;287;18iii
10184643;EESTI MEEDIA AS;2021982;724;18iii
74002322;EESTI RAHVUSRINGHÄÄLING;2021248;1454;18iv
70002526;VÄLISMINISTEERIUM;2019379;627;18ii
11575838;EESTI RAUDTEE AS;2015583;815;18ii
10156832;AS HKSCAN ESTONIA;2013707;1120;18iii
14270594;KÜHNE + NAGEL IT SERVICE CENTRE AS;2006787;401;18iii
10178070;ELISA EESTI AS;1999219;690;18iii
14270594;KÜHNE + NAGEL IT SERVICE CENTRE AS;1998482;410;18iv
90003433;IDA-VIRU KESKHAIGLA SIHTASUTUS;1987546;1239;18ii
90003433;IDA-VIRU KESKHAIGLA SIHTASUTUS;1973266;1222;18i
10184643;EESTI MEEDIA AS;1970874;737;18ii
70002526;VÄLISMINISTEERIUM;1960963;635;18i
10184643;EESTI MEEDIA AS;1926278;746;18iv
